Time (ms),Main Avg Current (mA)
0.00,3.848
0.20,3.86
0.40,3.882
0.60,3.906
0.80,3.854
1.00,3.852
1.20,3.958
1.40,3.86
1.60,3.892
1.80,3.844
2.00,3.866
2.20,3.906
2.40,3.848
2.60,3.876
2.80,3.904
3.00,3.898
3.20,3.972
3.40,3.774
3.60,3.824
3.80,3.936
4.00,3.866
4.20,3.874
4.40,3.882
4.60,3.89
4.80,3.896
5.00,3.838
5.20,3.888
5.40,3.898
5.60,3.89
5.80,3.904
6.00,3.854
6.20,3.84
6.40,3.876
6.60,3.944
6.80,3.898
7.00,3.846
7.20,3.848
7.40,3.87
7.60,3.954
7.80,3.854
8.00,3.852
8.20,3.874
8.40,3.844
8.60,3.882
8.80,3.948
9.00,3.87
9.20,3.882
9.40,3.862
9.60,3.868
9.80,3.87
10.00,3.896
10.20,3.826
10.40,3.898
10.60,3.866
10.80,3.92
11.00,3.898
11.20,3.882
11.40,3.852
11.60,3.878
11.80,3.838
12.00,3.868
12.20,3.892
12.40,3.866
12.60,3.878
12.80,3.912
13.00,3.868
13.20,3.896
13.40,3.86
13.60,3.866
13.80,3.87
14.00,3.912
14.20,3.906
14.40,3.844
14.60,3.874
14.80,3.852
15.00,3.854
15.20,3.882
15.40,3.912
15.60,3.904
15.80,3.898
16.00,3.83
16.20,3.87
16.40,3.854
16.60,3.92
16.80,3.914
17.00,3.876
17.20,3.87
17.40,3.848
17.60,3.854
17.80,3.914
18.00,3.848
18.20,3.9
18.40,3.896
18.60,3.882
18.80,3.848
19.00,3.89
19.20,3.848
19.40,3.87
19.60,3.896
19.80,3.912
20.00,3.856
20.20,3.836
20.40,3.928
20.60,3.944
20.80,3.87
21.00,3.818
21.20,3.87
21.40,3.86
21.60,3.942
21.80,3.878
22.00,3.852
22.20,3.78
22.40,3.956
22.60,3.92
22.80,3.876
23.00,3.874
23.20,3.804
23.40,3.888
23.60,3.966
23.80,3.876
24.00,3.854
24.20,3.856
24.40,3.862
24.60,3.866
24.80,3.898
25.00,3.914
25.20,3.884
25.40,3.86
25.60,3.888
25.80,3.888
26.00,3.906
26.20,3.878
26.40,3.846
26.60,3.838
26.80,3.898
27.00,3.904
27.20,3.854
27.40,3.89
27.60,3.918
27.80,3.844
28.00,3.83
28.20,3.954
28.40,3.868
28.60,3.832
28.80,3.898
29.00,3.91
29.20,3.912
29.40,3.848
29.60,3.866
29.80,3.826
30.00,3.91
30.20,3.934
30.40,3.92
30.60,3.796
30.80,3.868
31.00,3.854
31.20,3.876
31.40,3.962
31.60,3.898
31.80,3.848
32.00,3.832
32.20,3.83
32.40,3.922
32.60,3.92
32.80,3.788
33.00,3.944
33.20,3.896
33.40,3.856
33.60,3.866
33.80,3.934
34.00,3.882
34.20,3.868
34.40,3.844
34.60,3.896
34.80,3.866
35.00,3.882
35.20,3.918
35.40,3.896
35.60,3.87
35.80,3.848
