Time (s),Main Avg Current (mA)
0.0000,3.792
0.0002,3.792
0.0004,3.788
0.0006,3.86
0.0008,3.796
0.0010,3.808
0.0012,3.734
0.0014,3.822
0.0016,3.832
0.0018,3.838
0.0020,3.758
0.0022,3.818
0.0024,3.816
0.0026,3.81
0.0028,3.782
0.0030,3.786
0.0032,3.854
0.0034,3.758
0.0036,3.836
0.0038,3.8
0.0040,3.774
0.0042,3.854
0.0044,3.766
0.0046,3.774
0.0048,3.792
0.0050,3.848
0.0052,3.778
0.0054,3.792
0.0056,3.858
0.0058,3.76
0.0060,3.756
0.0062,3.838
0.0064,3.76
0.0066,3.78
0.0068,3.832
0.0070,3.76
0.0072,3.832
0.0074,3.83
0.0076,3.764
0.0078,3.81
0.0080,3.764
0.0082,3.794
0.0084,3.816
0.0086,3.786
0.0088,3.766
0.0090,3.75
0.0092,3.786
0.0094,3.81
0.0096,3.826
0.0098,3.766
0.0100,3.772
0.0102,3.766
0.0104,3.722
0.0106,3.794
0.0108,3.832
0.0110,3.77
0.0112,3.802
0.0114,3.736
0.0116,3.764
0.0118,3.788
0.0120,3.818
0.0122,3.772
0.0124,3.73
0.0126,3.792
0.0128,3.81
0.0130,3.84
0.0132,3.75
0.0134,3.75
0.0136,3.772
0.0138,3.782
0.0140,3.794
0.0142,3.772
0.0144,3.794
0.0146,3.804
0.0148,3.766
0.0150,3.794
0.0152,3.796
0.0154,3.816
0.0156,3.76
0.0158,3.734
0.0160,3.76
0.0162,3.818
0.0164,3.83
0.0166,3.77
0.0168,3.796
0.0170,3.814
0.0172,3.752
0.0174,3.832
0.0176,3.81
0.0178,3.794
0.0180,3.814
0.0182,3.832
0.0184,3.772
0.0186,3.818
0.0188,3.772
0.0190,3.854
0.0192,3.766
0.0194,3.814
0.0196,3.832
0.0198,3.796
0.0200,3.8
0.0202,3.792
0.0204,3.808
0.0206,3.802
0.0208,3.792
0.0210,3.854
0.0212,3.844
0.0214,3.73
0.0216,3.818
0.0218,3.752
0.0220,3.804
0.0222,3.814
0.0224,3.782
0.0226,3.786
0.0228,3.78
0.0230,3.81
0.0232,3.826
0.0234,3.822
0.0236,3.744
0.0238,3.838
0.0240,3.772
0.0242,3.816
0.0244,3.822
0.0246,3.774
0.0248,3.792
0.0250,3.736
0.0252,3.788
0.0254,3.814
0.0256,3.802
0.0258,3.792
0.0260,3.75
0.0262,3.804
0.0264,3.782
0.0266,3.794
0.0268,3.758
0.0270,3.772
0.0272,3.786
0.0274,3.722
0.0276,3.804
0.0278,3.8
0.0280,3.808
0.0282,3.81
