Time (s),Main Avg Current (mA)
0.0000,3.868
0.0002,3.942
0.0004,3.862
0.0006,3.9
0.0008,3.922
0.0010,3.884
0.0012,3.88
0.0014,3.93
0.0016,3.912
0.0018,3.906
0.0020,3.872
0.0022,3.92
0.0024,3.876
0.0026,3.876
0.0028,3.898
0.0030,3.956
0.0032,3.99
0.0034,3.842
0.0036,3.92
0.0038,3.936
0.0040,3.854
0.0042,3.898
0.0044,3.922
0.0046,3.906
0.0048,3.85
0.0050,3.934
0.0052,3.96
0.0054,3.906
0.0056,3.88
0.0058,3.906
0.0060,3.884
0.0062,3.96
0.0064,3.908
0.0066,3.916
0.0068,3.9
0.0070,3.876
0.0072,3.886
0.0074,3.876
0.0076,3.966
0.0078,3.876
0.0080,3.87
0.0082,3.922
0.0084,3.988
0.0086,3.89
0.0088,3.854
0.0090,3.884
0.0092,3.886
0.0094,3.88
0.0096,3.892
0.0098,3.99
0.0100,3.836
0.0102,3.914
0.0104,3.93
0.0106,3.854
0.0108,3.892
0.0110,3.894
0.0112,3.826
0.0114,3.922
0.0116,3.854
0.0118,3.946
0.0120,3.858
0.0122,3.884
0.0124,3.924
0.0126,3.88
0.0128,3.892
0.0130,3.89
0.0132,3.898
0.0134,3.902
0.0136,3.824
0.0138,3.898
0.0140,3.972
0.0142,3.878
0.0144,3.856
0.0146,3.878
0.0148,3.912
0.0150,3.858
0.0152,3.848
0.0154,3.956
0.0156,3.89
0.0158,3.872
0.0160,3.892
0.0162,3.914
0.0164,3.876
0.0166,3.912
0.0168,3.916
0.0170,3.834
0.0172,3.9
0.0174,3.928
0.0176,3.902
0.0178,3.858
0.0180,3.956
0.0182,3.898
0.0184,3.856
0.0186,3.916
0.0188,3.914
0.0190,3.908
0.0192,3.922
0.0194,3.908
0.0196,3.868
0.0198,3.916
0.0200,3.9
0.0202,3.956
0.0204,3.868
0.0206,3.898
0.0208,3.906
0.0210,3.934
0.0212,3.982
0.0214,3.832
0.0216,3.872
0.0218,3.898
0.0220,3.928
0.0222,3.968
0.0224,3.914
0.0226,3.842
0.0228,3.886
0.0230,3.938
0.0232,3.892
0.0234,3.942
0.0236,3.902
0.0238,3.886
0.0240,3.942
0.0242,3.878
0.0244,3.868
0.0246,3.956
0.0248,3.924
0.0250,3.944
0.0252,3.858
0.0254,3.84
0.0256,3.906
0.0258,3.942
0.0260,3.908
0.0262,3.876
0.0264,3.916
0.0266,3.902
0.0268,3.884
0.0270,3.878
0.0272,3.884
0.0274,3.85
0.0276,3.924
0.0278,3.88
0.0280,3.892
0.0282,3.908
0.0284,3.956
0.0286,3.878
0.0288,3.84
0.0290,3.898
0.0292,3.894
0.0294,3.916
0.0296,3.836
0.0298,3.89
0.0300,3.88
0.0302,3.922
0.0304,3.908
0.0306,3.842
0.0308,3.898
0.0310,3.88
0.0312,3.87
0.0314,3.928
0.0316,3.88
0.0318,3.902
0.0320,3.906
0.0322,3.848
0.0324,3.884
0.0326,3.912
0.0328,3.892
0.0330,3.9
0.0332,3.912
0.0334,3.9
0.0336,3.88
0.0338,3.88
0.0340,3.886
0.0342,3.916
0.0344,3.902
0.0346,3.87
0.0348,3.9
0.0350,3.93
0.0352,3.892
0.0354,3.912
0.0356,3.84
