Time (ms),Main Avg Current (mA)
0.00,3.792
0.20,3.804
0.40,3.844
0.60,3.79
0.80,3.71
1.00,3.772
1.20,3.828
1.40,3.85
1.60,3.776
1.80,3.756
2.00,3.874
2.20,3.778
2.40,3.762
2.60,3.748
2.80,3.808
3.00,3.82
3.20,3.834
3.40,3.754
3.60,3.85
3.80,3.804
4.00,3.768
4.20,3.8
4.40,3.792
4.60,3.804
4.80,3.798
5.00,3.82
5.20,3.776
5.40,3.732
5.60,3.804
5.80,3.872
6.00,3.734
6.20,3.826
6.40,3.806
6.60,3.734
6.80,3.762
7.00,3.826
7.20,3.856
7.40,3.776
7.60,3.776
7.80,3.82
8.00,3.786
8.20,3.754
8.40,3.764
8.60,3.798
8.80,3.834
9.00,3.8
9.20,3.752
9.40,3.72
9.60,3.83
9.80,3.804
10.00,3.792
10.20,3.748
10.40,3.814
10.60,3.812
10.80,3.738
11.00,3.702
11.20,3.83
11.40,3.786
11.60,3.852
11.80,3.724
12.00,3.782
12.20,3.764
12.40,3.814
12.60,3.762
12.80,3.76
13.00,3.792
13.20,3.828
13.40,3.822
13.60,3.764
13.80,3.782
14.00,3.748
14.20,3.808
14.40,3.808
14.60,3.754
14.80,3.742
15.00,3.826
15.20,3.826
15.40,3.732
15.60,3.814
15.80,3.786
16.00,3.812
16.20,3.798
16.40,3.786
16.60,3.754
16.80,3.786
17.00,3.826
17.20,3.754
17.40,3.734
17.60,3.886
17.80,3.794
18.00,3.768
18.20,3.768
18.40,3.85
18.60,3.748
18.80,3.804
19.00,3.82
19.20,3.842
19.40,3.768
19.60,3.806
19.80,3.794
20.00,3.836
20.20,3.74
20.40,3.778
20.60,3.792
20.80,3.756
21.00,3.804
21.20,3.864
21.40,3.816
21.60,3.77
21.80,3.804
22.00,3.73
22.20,3.778
22.40,3.838
22.60,3.814
22.80,3.792
23.00,3.792
23.20,3.83
23.40,3.762
23.60,3.77
23.80,3.776
24.00,3.852
24.20,3.768
24.40,3.746
24.60,3.856
24.80,3.812
25.00,3.73
25.20,3.792
25.40,3.8
25.60,3.756
25.80,3.772
26.00,3.812
26.20,3.76
26.40,3.784
26.60,3.786
26.80,3.814
27.00,3.772
27.20,3.804
27.40,3.8
27.60,3.754
27.80,3.77
28.00,3.804
28.20,3.798
28.40,3.752
28.60,3.782
28.80,3.82
29.00,3.784
29.20,3.742
29.40,3.794
29.60,3.77
29.80,3.814
30.00,3.79
30.20,3.772
30.40,3.784
30.60,3.746
30.80,3.822
31.00,3.808
31.20,3.738
31.40,3.79
31.60,3.836
31.80,3.808
32.00,3.742
32.20,3.762
32.40,3.784
32.60,3.858
32.80,3.79
33.00,3.742
33.20,3.828
33.40,3.784
33.60,3.76
33.80,3.822
34.00,3.754
34.20,3.79
34.40,3.786
34.60,3.814
34.80,3.836
35.00,3.804
35.20,3.834
35.40,3.74
35.60,3.792
35.80,3.88
36.00,3.77
36.20,3.752
36.40,3.814
36.60,3.856
36.80,3.752
37.00,3.798
37.20,3.806
37.40,3.848
37.60,3.764
37.80,3.768
38.00,3.794
38.20,3.786
38.40,3.858
38.60,3.804
38.80,3.718
39.00,3.77
39.20,3.878
39.40,3.772
39.60,3.786
39.80,3.798
40.00,3.856
40.20,3.708
40.40,3.784
40.60,3.822
40.80,3.752
41.00,3.804
41.20,3.834
41.40,3.782
41.60,3.742
41.80,3.778
42.00,3.812
42.20,3.82
42.40,3.772
42.60,3.768
42.80,3.816
43.00,3.808
43.20,3.756
43.40,3.756
43.60,3.762
43.80,3.798
44.00,3.782
44.20,3.804
44.40,3.748
44.60,3.76
44.80,3.814
45.00,3.816
45.20,3.72
45.40,3.776
45.60,3.798
45.80,3.828
46.00,3.768
46.20,3.794
46.40,3.798
46.60,3.76
46.80,3.756
47.00,3.83
47.20,3.8
47.40,3.756
47.60,3.778
47.80,3.734
48.00,3.812
48.20,3.79
48.40,3.808
48.60,3.776
48.80,3.77
49.00,3.8
49.20,3.798
49.40,3.764
49.60,3.79
49.80,3.77
50.00,3.872
50.20,3.772
50.40,3.76
50.60,3.784
50.80,3.826
51.00,3.83
51.20,3.76
51.40,3.782
51.60,3.838
51.80,3.826
52.00,3.786
52.20,3.718
52.40,3.806
52.60,3.806
52.80,3.842
53.00,3.79
53.20,3.792
53.40,3.808
53.60,3.77
53.80,3.798
54.00,3.812
54.20,3.838
54.40,3.778
54.60,3.782
54.80,3.848
55.00,3.752
55.20,3.772
55.40,3.776
55.60,3.844
55.80,3.764
56.00,3.8
56.20,3.826
56.40,3.778
56.60,3.764
56.80,3.784
57.00,3.814
57.20,3.836
57.40,3.74
57.60,3.742
57.80,3.85
