Time (ms),Main Avg Current (mA)
0.00,3.8
0.20,3.748
0.40,3.764
0.60,3.754
0.80,3.764
1.00,3.768
1.20,3.816
1.40,3.754
1.60,3.69
1.80,3.786
2.00,3.76
2.20,3.784
2.40,3.754
2.60,3.772
2.80,3.734
3.00,3.748
3.20,3.836
3.40,3.726
3.60,3.79
3.80,3.734
4.00,3.728
4.20,3.716
4.40,3.756
4.60,3.86
4.80,3.798
5.00,3.66
5.20,3.756
5.40,3.816
5.60,3.726
5.80,3.684
6.00,3.792
6.20,3.856
6.40,3.804
6.60,3.682
6.80,3.732
7.00,3.786
7.20,3.814
7.40,3.768
7.60,3.738
7.80,3.76
8.00,3.724
8.20,3.77
8.40,3.79
8.60,3.814
8.80,3.76
9.00,3.71
9.20,3.806
9.40,3.762
9.60,3.778
9.80,3.77
10.00,3.798
10.20,3.772
10.40,3.742
10.60,3.798
10.80,3.768
11.00,3.842
11.20,3.772
11.40,3.724
11.60,3.768
11.80,3.782
12.00,3.784
12.20,3.772
12.40,3.808
12.60,3.768
12.80,3.77
13.00,3.79
13.20,3.756
13.40,3.75
13.60,3.74
13.80,3.776
14.00,3.838
14.20,3.8
14.40,3.768
14.60,3.712
14.80,3.75
15.00,3.79
15.20,3.804
15.40,3.816
15.60,3.794
15.80,3.726
16.00,3.778
16.20,3.782
16.40,3.746
16.60,3.768
16.80,3.782
17.00,3.748
17.20,3.784
17.40,3.74
17.60,3.816
17.80,3.784
18.00,3.718
18.20,3.75
18.40,3.808
18.60,3.756
18.80,3.784
19.00,3.784
19.20,3.684
19.40,3.732
19.60,3.814
19.80,3.756
20.00,3.738
20.20,3.75
20.40,3.768
20.60,3.772
20.80,3.798
21.00,3.74
21.20,3.82
21.40,3.69
21.60,3.762
21.80,3.816
22.00,3.792
22.20,3.738
22.40,3.674
22.60,3.808
22.80,3.822
23.00,3.718
23.20,3.772
23.40,3.756
23.60,3.772
23.80,3.728
24.00,3.74
24.20,3.836
24.40,3.762
24.60,3.74
24.80,3.79
25.00,3.77
25.20,3.762
25.40,3.778
25.60,3.79
25.80,3.798
26.00,3.728
26.20,3.764
26.40,3.784
26.60,3.77
26.80,3.756
27.00,3.804
27.20,3.738
27.40,3.804
27.60,3.786
27.80,3.806
28.00,3.754
28.20,3.768
28.40,3.79
28.60,3.816
28.80,3.782
29.00,3.734
29.20,3.742
29.40,3.784
29.60,3.776
29.80,3.776
30.00,3.814
30.20,3.82
30.40,3.776
30.60,3.696
30.80,3.748
31.00,3.834
31.20,3.762
31.40,3.72
31.60,3.82
31.80,3.828
32.00,3.754
32.20,3.674
32.40,3.814
32.60,3.834
32.80,3.742
33.00,3.776
33.20,3.77
33.40,3.72
33.60,3.804
33.80,3.756
34.00,3.734
34.20,3.786
34.40,3.812
34.60,3.76
34.80,3.768
35.00,3.756
35.20,3.732
35.40,3.786
35.60,3.772
35.80,3.728
36.00,3.79
36.20,3.712
36.40,3.746
36.60,3.778
36.80,3.734
37.00,3.76
37.20,3.764
37.40,3.8
37.60,3.756
37.80,3.75
38.00,3.792
38.20,3.746
38.40,3.804
38.60,3.724
38.80,3.724
39.00,3.784
39.20,3.82
39.40,3.704
39.60,3.778
39.80,3.776
40.00,3.734
40.20,3.756
40.40,3.748
40.60,3.834
40.80,3.746
41.00,3.706
41.20,3.782
41.40,3.826
41.60,3.764
